"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89192","Verify Register while checkout","chromium","2026-02-08","broken","2026-02-08","Register Checkout Flow","04_Products_Module\TC13_PlaceOrder_Register_Before_Checkout_test.spec.ts","",""
"","16863","Verify all the products related to search are visible","chromium","2026-02-08","passed","2026-02-08","All Products Flow","04_Products_Module\TC18_Search_Products_Verify_login_test.spec.ts","",""
"","20115","Verify user is navigated to ALL PRODUCTS page successfully","chromium","2026-02-08","passed","2026-02-08","All Products Flow","04_Products_Module\TC08_AllProducts_test.spec.ts","",""
"","22346","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Subscription Flow","05_Subscription_Module\TC22_Scrolling_subscription_test.spec.ts","",""
"","10352","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Register Checkout Flow","04_Products_Module\TC13_PlaceOrder_Register_Before_Checkout_test.spec.ts","",""
"","21807","Verify user is navigated to test cases page successfully","chromium","2026-02-08","passed","2026-02-08","TestCase Page Flow","03_TestCase_Module\TC07_TestCase_test.spec.ts","",""
"","36848","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Product Review Flow","04_Products_Module\TC19_Adding_Review_test.spec.ts","",""
"","69048","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Signup Flow","01_LoginRegister_Module\TC00_Without_Methods_Test.spec.ts","",""
"","16138","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","All Products Flow","04_Products_Module\TC18_Search_Products_Verify_login_test.spec.ts","",""
"","14680","Verify, Users could not Login by keeping the fileds empty","chromium","2026-02-08","passed","2026-02-08","Login Flow","01_LoginRegister_Module\TC03_Login_With_Invalid_Creds_test.spec.ts","",""
"","30880","Verify ""New User Signup!"" is visible","chromium","2026-02-08","passed","2026-02-08","Signup Flow","01_LoginRegister_Module\TC00_Without_Methods_Test.spec.ts","",""
"","14888","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Signup Flow","01_LoginRegister_Module\TC04_Logout_Test.spec.ts","",""
"","7246","has title","chromium","2026-02-08","passed","2026-02-08","","example.spec.ts","",""
"","26202","Verify user is navigated to ALL PRODUCTS page successfully","chromium","2026-02-08","passed","2026-02-08","Product Review Flow","04_Products_Module\TC19_Adding_Review_test.spec.ts","",""
"","67825","Verify that 'logged in user' is visible","chromium","2026-02-08","passed","2026-02-08","Signup Flow","01_LoginRegister_Module\TC01_SignUp_test.spec.ts","",""
"","28549","Verify both products are added to Cart","chromium","2026-02-08","passed","2026-02-08","Cart Products Flow","04_Products_Module\TC10_AddProducts_ToCart_test.spec.ts","",""
"","68066","Verify that 'logged in user' is visible","chromium","2026-02-08","broken","2026-02-08","Login Flow","01_LoginRegister_Module\TC02_Login_test.spec.ts","",""
"","14601","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Product Review Flow","04_Products_Module\TC20_Recommended_Items_Add_test.spec.ts","",""
"","68698","Verify success message ""Thank you for your review.""","chromium","2026-02-08","failed","2026-02-08","Product Review Flow","04_Products_Module\TC19_Adding_Review_test.spec.ts","",""
"","15382","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Register Checkout Flow","04_Products_Module\TC21_Download_Invoice_after_purchase_test.spec.ts","",""
"","34386","Verify Users could not Login by providing, Valid email and invalid password","chromium","2026-02-08","passed","2026-02-08","Login Flow","01_LoginRegister_Module\TC03_Login_With_Invalid_Creds_test.spec.ts","",""
"","26006","Verify that page is scrolled up and ""Full Fledged practice website for Automation Engineers"" text is visible on screen","chromium","2026-02-08","failed","2026-02-08","Subscription Flow","05_Subscription_Module\TC23_Scroll_UporDown_test.spec.ts","",""
"","17895","Verify that home page is visible successfully","chromium","2026-02-08","passed","2026-02-08","Subscription Flow","05_Subscription_Module\TC23_Scroll_UporDown_test.spec.ts","",""
"","30250","Verify ""Login to your account"" is visible","chromium","2026-02-08","passed","2026-02-08","Login Flow","01_LoginRegister_Module\TC02_Login_test.spec.ts","",""
"","16721","Verify user is navigated to ALL PRODUCTS page successfully","chromium","2026-02-08","passed","2026-02-08","All Products Flow","04_Products_Module\TC09_Search_Products_test.spec.ts","",""
